,ESTADO,PRODUTO,MES_ANO,VL_VENDA
852,DF,DIESEL S10,09/2025,5.538461538461538
853,DF,DIESEL S10,10/2022,5.90625
854,DF,DIESEL S10,10/2023,5.40625
855,DF,DIESEL S10,10/2024,5.1875
856,DF,DIESEL S10,10/2025,5.970588235294118
857,DF,DIESEL S10,11/2022,6.563636363636364
858,DF,DIESEL S10,11/2023,5.32
859,DF,DIESEL S10,11/2024,5.111111111111111
860,DF,DIESEL S10,11/2025,6.0
861,DF,DIESEL S10,12/2022,5.4363636363636365
862,DF,DIESEL S10,12/2023,5.295454545454546
863,DF,DIESEL S10,12/2024,5.1395348837209305
864,DF,DIESEL S10,12/2025,5.8
865,DF,DIESEL S10,<NA>/<NA>,5.665544332210999
933,ES,DIESEL S10,01/2022,6.083333333333333
934,ES,DIESEL S10,01/2023,5.081632653061225
935,ES,DIESEL S10,01/2024,5.349397590361446
936,ES,DIESEL S10,01/2025,5.961538461538462
937,ES,DIESEL S10,02/2022,5.980769230769231
938,ES,DIESEL S10,02/2023,5.128205128205129
939,ES,DIESEL S10,02/2024,5.225806451612903
940,ES,DIESEL S10,02/2025,5.735294117647059
941,ES,DIESEL S10,03/2022,5.48936170212766
942,ES,DIESEL S10,03/2023,5.147540983606557
943,ES,DIESEL S10,03/2024,5.432835820895522
944,ES,DIESEL S10,03/2025,5.591549295774648
945,ES,DIESEL S10,04/2022,5.724770642201835
946,ES,DIESEL S10,04/2023,5.297709923664122
947,ES,DIESEL S10,04/2024,5.333333333333333
948,ES,DIESEL S10,04/2025,5.953488372093023
949,ES,DIESEL S10,05/2022,6.0458015267175576
950,ES,DIESEL S10,05/2023,5.119496855345912
951,ES,DIESEL S10,05/2024,5.358333333333333
952,ES,DIESEL S10,05/2025,5.9523809523809526
953,ES,DIESEL S10,06/2022,6.191304347826087
954,ES,DIESEL S10,06/2023,5.413793103448276
955,ES,DIESEL S10,06/2024,5.2772277227722775
956,ES,DIESEL S10,06/2025,5.756756756756757
957,ES,DIESEL S10,07/2022,5.782122905027933
958,ES,DIESEL S10,07/2023,4.990654205607477
959,ES,DIESEL S10,07/2024,5.234375
960,ES,DIESEL S10,07/2025,5.8
961,ES,DIESEL S10,08/2022,6.087719298245614
962,ES,DIESEL S10,08/2023,5.146067415730337
963,ES,DIESEL S10,08/2024,5.321428571428571
